MIN_ADX,MIN_VOLUME_FACTOR,BREAKOUT_BUFFER,TRADE_COOLDOWN_CANDLES,BREAKOUT_LOOKBACK,RR_RATIO,train_final,train_pf,train_dd,train_trades,test_final,test_pf,test_dd,test_trades,elapsed_s,idx,score
28,1.6,1.4,28,60,2.8,322.79,1.193,-8.64,154,320.89,1.562,-2.1,58,2.06,96,190.203
28,1.4,1.4,28,60,2.8,321.7,1.183,-8.64,155,320.89,1.562,-2.1,58,2.05,80,189.953
28,1.6,1.4,24,60,2.8,321.66,1.182,-8.64,155,320.89,1.562,-2.1,58,2.23,92,189.928
28,1.4,1.4,24,60,2.8,320.57,1.172,-8.64,156,320.89,1.562,-2.1,58,2.16,76,189.678
28,1.6,1.4,28,60,2.5,317.13,1.153,-7.98,154,319.28,1.536,-2.1,59,2.09,95,186.281
28,1.4,1.4,28,60,2.5,316.06,1.142,-7.98,155,319.28,1.536,-2.1,59,1.98,79,186.006
28,1.6,1.4,24,60,2.5,316.02,1.142,-7.98,155,319.28,1.536,-2.1,59,2.18,91,186.006
28,1.4,1.4,24,60,2.5,314.95,1.132,-7.98,156,319.28,1.536,-2.1,59,2.27,75,185.756
28,1.6,1.4,28,50,2.8,316.95,1.138,-8.98,159,319.65,1.513,-2.1,59,2.14,94,183.68
28,1.4,1.4,28,50,2.8,315.87,1.129,-8.98,160,319.65,1.513,-2.1,59,2.03,78,183.455
28,1.6,1.4,24,50,2.8,315.84,1.128,-8.98,160,319.65,1.513,-2.1,59,2.24,90,183.43
28,1.4,1.4,24,50,2.8,314.77,1.119,-8.98,161,319.65,1.513,-2.1,59,2.24,74,183.205
28,1.6,1.4,28,50,2.5,311.39,1.098,-8.04,159,318.05,1.487,-2.1,60,2.17,93,179.76
28,1.4,1.4,28,50,2.5,310.34,1.088,-8.04,160,318.05,1.487,-2.1,60,2.09,77,179.51
28,1.6,1.4,24,50,2.5,310.3,1.088,-8.04,160,318.05,1.487,-2.1,60,2.28,89,179.51
28,1.4,1.4,24,50,2.5,309.25,1.078,-8.04,161,318.05,1.487,-2.1,60,2.06,73,179.26
24,1.6,1.4,28,60,2.8,333.49,1.252,-6.91,173,316.94,1.37,-2.85,67,2.06,32,171.688
24,1.6,1.4,28,50,2.8,326.36,1.191,-7.25,179,318.09,1.382,-3.52,69,2.06,30,171.593
24,1.4,1.4,28,60,2.8,332.36,1.242,-6.91,174,316.94,1.37,-2.85,67,2.13,16,171.438
24,1.6,1.4,24,60,2.8,332.32,1.242,-6.91,174,316.94,1.37,-2.85,67,2.03,28,171.438
24,1.4,1.4,28,50,2.8,325.25,1.182,-7.25,180,318.09,1.382,-3.52,69,2.21,14,171.368
24,1.6,1.4,24,50,2.8,325.22,1.182,-7.25,180,318.09,1.382,-3.52,69,2.08,26,171.368
24,1.4,1.4,24,60,2.8,331.2,1.232,-6.91,175,316.94,1.37,-2.85,67,2.07,12,171.188
24,1.4,1.4,24,50,2.8,324.12,1.173,-7.25,181,318.09,1.382,-3.52,69,2.04,10,171.143
24,1.6,1.4,28,60,2.5,331.91,1.257,-5.21,173,314.79,1.332,-2.85,68,2.03,31,167.583
24,1.4,1.4,28,60,2.5,330.79,1.246,-5.21,174,314.79,1.332,-2.85,68,2.21,15,167.308
24,1.6,1.4,24,60,2.5,330.75,1.246,-5.21,174,314.79,1.332,-2.85,68,2.03,27,167.308
24,1.4,1.4,24,60,2.5,329.63,1.235,-5.21,175,314.79,1.332,-2.85,68,2.16,11,167.033
24,1.6,1.4,28,50,2.5,324.81,1.191,-5.27,179,315.65,1.34,-3.14,70,2.04,29,166.905
24,1.4,1.4,28,50,2.5,323.71,1.182,-5.27,180,315.65,1.34,-3.14,70,2.32,13,166.68
24,1.6,1.4,24,50,2.5,323.68,1.182,-5.27,180,315.65,1.34,-3.14,70,2.14,25,166.68
24,1.4,1.4,24,50,2.5,322.58,1.172,-5.27,181,315.65,1.34,-3.14,70,2.03,9,166.43
26,1.6,1.4,28,50,2.8,318.13,1.139,-7.62,170,315.6,1.331,-3.52,68,2.07,62,164.695
26,1.6,1.4,28,60,2.8,325.08,1.2,-7.28,164,314.46,1.317,-2.85,66,2.16,64,164.592
26,1.4,1.4,28,50,2.8,317.06,1.13,-7.62,171,315.6,1.331,-3.52,68,2.42,46,164.47
26,1.6,1.4,24,50,2.8,317.02,1.129,-7.62,171,315.6,1.331,-3.52,68,2.03,58,164.445
26,1.4,1.4,28,60,2.8,323.98,1.19,-7.28,165,314.46,1.317,-2.85,66,2.15,48,164.342
26,1.6,1.4,24,60,2.8,323.95,1.19,-7.28,165,314.46,1.317,-2.85,66,2.18,60,164.342
26,1.4,1.4,24,50,2.8,315.95,1.121,-7.62,172,315.6,1.331,-3.52,68,2.08,42,164.245
26,1.4,1.4,24,60,2.8,322.85,1.18,-7.28,166,314.46,1.317,-2.85,66,2.02,44,164.092
26,1.6,1.4,28,60,2.5,324.99,1.212,-5.51,164,312.61,1.285,-2.85,67,2.37,63,161.322
26,1.4,1.4,28,60,2.5,323.89,1.202,-5.51,165,312.61,1.285,-2.85,67,2.07,47,161.072
26,1.6,1.4,24,60,2.5,323.86,1.201,-5.51,165,312.61,1.285,-2.85,67,2.32,59,161.047
26,1.4,1.4,24,60,2.5,322.76,1.191,-5.51,166,312.61,1.285,-2.85,67,2.01,43,160.797
26,1.6,1.4,28,50,2.5,318.04,1.147,-5.56,170,313.45,1.294,-3.14,69,2.16,61,160.765
26,1.4,1.4,28,50,2.5,316.97,1.137,-5.56,171,313.45,1.294,-3.14,69,2.02,45,160.515
26,1.6,1.4,24,50,2.5,316.93,1.137,-5.56,171,313.45,1.294,-3.14,69,2.08,57,160.515
26,1.4,1.4,24,50,2.5,315.86,1.127,-5.56,172,313.45,1.294,-3.14,69,2.29,41,160.265
28,1.6,1.2,28,60,2.5,330.94,1.24,-6.96,178,311.88,1.235,-2.46,77,2.23,87,156.876
28,1.4,1.2,28,60,2.5,329.82,1.23,-6.96,179,311.88,1.235,-2.46,77,2.17,71,156.626
28,1.6,1.2,24,60,2.5,329.79,1.23,-6.96,179,311.88,1.235,-2.46,77,2.14,83,156.626
28,1.4,1.2,24,60,2.5,328.67,1.22,-6.96,180,311.88,1.235,-2.46,77,2.28,67,156.376
28,1.6,1.2,28,60,2.8,336.63,1.27,-7.32,178,311.01,1.208,-2.46,76,2.2,88,154.752
28,1.4,1.2,28,60,2.8,335.49,1.26,-7.32,179,311.01,1.208,-2.46,76,2.17,72,154.502
28,1.6,1.2,24,60,2.8,335.45,1.259,-7.32,179,311.01,1.208,-2.46,76,2.43,84,154.477
28,1.4,1.2,24,60,2.8,334.32,1.25,-7.32,180,311.01,1.208,-2.46,76,2.21,68,154.252
28,1.6,1.2,28,50,2.5,321.9,1.157,-7.85,188,310.67,1.207,-2.46,78,2.26,85,151.759
28,1.4,1.2,28,50,2.5,320.81,1.148,-7.85,189,310.67,1.207,-2.46,78,2.04,69,151.534
28,1.6,1.2,24,50,2.5,320.78,1.148,-7.85,189,310.67,1.207,-2.46,78,2.02,81,151.534
28,1.4,1.2,24,50,2.5,319.69,1.14,-7.85,190,310.67,1.207,-2.46,78,2.2,65,151.334
24,1.6,1.2,28,50,2.8,345.47,1.279,-4.85,211,310.92,1.165,-3.85,91,2.15,22,150.659
24,1.6,1.2,28,50,2.5,341.64,1.27,-3.48,212,310.39,1.164,-3.47,92,2.09,21,150.228
24,1.6,1.2,24,50,2.8,343.07,1.261,-5.18,213,310.92,1.165,-3.85,91,2.09,18,150.209
24,1.4,1.2,28,50,2.8,343.04,1.261,-4.85,213,310.89,1.165,-3.85,91,2.1,6,150.203
24,1.6,1.2,24,50,2.5,340.45,1.261,-3.81,213,310.39,1.164,-3.47,92,2.13,17,150.003
28,1.6,1.2,28,50,2.8,327.72,1.189,-7.77,188,309.81,1.181,-2.46,77,2.17,86,149.787
24,1.4,1.2,24,50,2.8,340.66,1.244,-5.18,215,310.89,1.165,-3.85,91,2.25,2,149.778
24,1.4,1.2,28,50,2.5,339.24,1.252,-4.12,214,310.36,1.164,-3.47,92,2.11,5,149.772
28,1.4,1.2,28,50,2.8,326.62,1.18,-7.77,189,309.81,1.181,-2.46,77,2.12,70,149.562
28,1.6,1.2,24,50,2.8,326.58,1.18,-7.77,189,309.81,1.181,-2.46,77,2.11,82,149.562
24,1.4,1.2,24,50,2.5,338.05,1.243,-4.44,215,310.36,1.164,-3.47,92,2.58,1,149.547
28,1.4,1.2,24,50,2.8,325.48,1.172,-7.77,190,309.81,1.181,-2.46,77,2.3,66,149.362
24,1.6,1.2,28,60,2.5,351.24,1.357,-2.99,202,307.33,1.119,-2.54,89,2.19,23,147.291
24,1.6,1.2,24,60,2.5,350.01,1.346,-3.07,203,307.33,1.119,-2.54,89,2.1,19,147.016
24,1.6,1.2,28,60,2.8,354.86,1.361,-4.85,201,307.3,1.114,-3.12,88,2.21,24,146.885
24,1.4,1.2,28,60,2.5,348.77,1.336,-3.42,204,307.3,1.119,-2.54,89,2.04,7,146.76
24,1.4,1.2,24,60,2.5,347.55,1.326,-3.75,205,307.3,1.119,-2.54,89,2.22,3,146.51
24,1.6,1.2,24,60,2.8,352.39,1.34,-5.18,203,307.3,1.114,-3.12,88,2.06,20,146.36
24,1.4,1.2,28,60,2.8,352.36,1.341,-4.85,203,307.27,1.113,-3.12,88,2.02,8,146.279
24,1.4,1.2,24,60,2.8,349.92,1.321,-5.18,205,307.27,1.113,-3.12,88,2.16,4,145.779
26,1.6,1.2,28,60,2.5,343.93,1.326,-3.79,190,304.1,1.069,-2.54,86,2.01,55,140.87
26,1.6,1.2,24,60,2.5,342.73,1.315,-3.79,191,304.1,1.069,-2.54,86,2.07,51,140.595
26,1.4,1.2,28,60,2.5,341.52,1.304,-3.79,192,304.07,1.068,-2.54,86,2.16,39,140.214
26,1.4,1.2,24,60,2.5,340.32,1.294,-3.79,193,304.07,1.068,-2.54,86,2.22,35,139.964
26,1.6,1.2,28,50,2.5,334.54,1.237,-4.16,200,304.92,1.08,-3.47,88,2.09,53,139.909
26,1.6,1.2,24,50,2.5,333.37,1.228,-4.16,201,304.92,1.08,-3.47,88,2.12,49,139.684
26,1.4,1.2,28,50,2.5,332.18,1.219,-4.16,202,304.89,1.08,-3.47,88,2.21,37,139.453
26,1.6,1.2,28,60,2.8,345.63,1.319,-4.95,189,303.52,1.057,-3.12,85,2.03,56,139.379
26,1.4,1.2,24,50,2.5,331.03,1.21,-4.16,203,304.89,1.08,-3.47,88,2.17,33,139.228
26,1.6,1.2,28,50,2.8,336.48,1.238,-5.29,199,304.62,1.072,-3.85,87,2.02,54,139.074
26,1.6,1.2,24,60,2.8,343.22,1.299,-5.28,191,303.52,1.057,-3.12,85,2.07,52,138.879
26,1.4,1.2,28,60,2.8,343.19,1.299,-4.95,191,303.5,1.056,-3.12,85,2.26,40,138.775
26,1.6,1.2,24,50,2.8,334.14,1.22,-5.61,201,304.62,1.072,-3.85,87,2.03,50,138.624
26,1.4,1.2,28,50,2.8,334.12,1.22,-5.29,201,304.59,1.072,-3.85,87,2.18,38,138.618
26,1.4,1.2,24,60,2.8,340.81,1.279,-5.28,193,303.5,1.056,-3.12,85,2.23,36,138.275
26,1.4,1.2,24,50,2.8,331.79,1.202,-5.61,203,304.59,1.072,-3.85,87,2.22,34,138.168
